StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
2025-11-07 11:50:23,2025-11-07 11:52:52,IP Address,174.244.20.97,100,149,True,2025-11-07 11:52:53,R_1ckDCcQFNSiLl9X,,,,,32.8131,-96.8141,qr,EN,1096,Agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree
2025-11-07 11:50:19,2025-11-07 11:52:52,IP Address,174.197.67.154,100,153,True,2025-11-07 11:52:53,R_74ooTgCOpB0e6Hu,,,,,32.7797,-96.8022,qr,EN,1041,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree
2025-11-07 11:50:14,2025-11-07 11:52:53,IP Address,166.205.190.32,100,159,True,2025-11-07 11:52:53,R_7uHsXohF1Iiq9Rc,,,,,32.7797,-96.8022,qr,EN,1030,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree
2025-11-07 11:50:58,2025-11-07 11:52:54,IP Address,174.244.32.170,100,116,True,2025-11-07 11:52:54,R_6LzCto1lx2DgH6U,,,,,32.9958,-96.7882,qr,EN,1071,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral
2025-11-07 11:50:12,2025-11-07 11:52:56,IP Address,174.214.127.222,100,164,True,2025-11-07 11:52:57,R_7238qdF9hdzQNZi,,,,,32.8242,-96.7507,qr,EN,1084,Strongly agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree
2025-11-07 11:50:13,2025-11-07 11:53:03,IP Address,174.224.2.117,100,170,True,2025-11-07 11:53:04,R_7cD8pEAEigB8oDL,,,,,33.0036,-96.8834,qr,EN,163590,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree
2025-11-07 11:50:12,2025-11-07 11:53:04,IP Address,172.226.175.77,100,172,True,2025-11-07 11:53:05,R_7P3ywq0JhgzaZsR,,,,,29.7539,-95.359,qr,EN,1087,Agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree
2025-11-07 11:51:11,2025-11-07 11:53:04,IP Address,107.127.0.36,100,112,True,2025-11-07 11:53:05,R_79N7YdCdKENIcjn,,,,,30.4293,-97.7207,qr,EN,1069,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree
2025-11-07 11:50:11,2025-11-07 11:53:05,IP Address,174.224.5.175,100,174,True,2025-11-07 11:53:06,R_1ZQOrgXkbTCwrZv,,,,,32.9993,-96.8346,qr,EN,1045,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree
2025-11-07 11:50:10,2025-11-07 11:53:11,IP Address,172.58.181.1,100,180,True,2025-11-07 11:53:11,R_72JcHqQgLwnzKY5,,,,,32.8687,-96.8626,qr,EN,1052,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Neutral
2025-11-07 11:50:21,2025-11-07 11:53:15,IP Address,108.147.150.52,100,173,True,2025-11-07 11:53:15,R_7S16ni0Kz6yJAzn,,,,,32.6609,-97.0342,qr,EN,1026,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly disagree
2025-11-07 11:50:10,2025-11-07 11:53:20,IP Address,172.58.181.255,100,189,True,2025-11-07 11:53:20,R_1qWj455qyYEONuq,,,,,32.8687,-96.8626,qr,EN,1003,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree
2025-11-07 11:50:09,2025-11-07 11:53:20,IP Address,166.205.190.71,100,191,True,2025-11-07 11:53:21,R_7ngnSsbP1a8Ndkd,,,,,32.7797,-96.8022,qr,EN,1024,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree
2025-11-07 11:50:49,2025-11-07 11:53:22,IP Address,166.198.202.6,100,153,True,2025-11-07 11:53:22,R_6JD6NG3WIvTE1xI,,,,,30.4427,-97.6805,qr,EN,1012,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:33,2025-11-07 11:53:28,IP Address,174.224.12.18,100,175,True,2025-11-07 11:53:28,R_3uVY7GS6TNAYWzL,,,,,32.8489,-96.9667,qr,EN,1065,Agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree
2025-11-07 11:50:42,2025-11-07 11:53:37,IP Address,172.58.181.247,100,174,True,2025-11-07 11:53:37,R_1kXo1SS4hRMMsTf,,,,,32.8687,-96.8626,qr,EN,1074,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree
2025-11-07 11:50:13,2025-11-07 11:53:40,IP Address,172.58.182.129,100,207,True,2025-11-07 11:53:41,R_7M6o0twPevpDuaR,,,,,32.8687,-96.8626,qr,EN,1019,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree
2025-11-07 11:50:52,2025-11-07 11:53:41,IP Address,172.58.181.13,100,168,True,2025-11-07 11:53:41,R_6NEgzXJp8Qd22Li,,,,,32.8687,-96.8626,qr,EN,1095,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree
2025-11-07 11:50:17,2025-11-07 11:53:48,IP Address,166.198.202.64,100,211,True,2025-11-07 11:53:49,R_67TFwCx3cc0RKBl,,,,,30.4427,-97.6805,qr,EN,1006,Neutral,Disagree,Neutral,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
2025-11-07 11:50:12,2025-11-07 11:54:00,IP Address,146.75.234.48,100,227,True,2025-11-07 11:54:01,R_7CvCIHaUSkmthgZ,,,,,33.5226,-86.8033,qr,EN,1020,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral
2025-11-07 11:50:14,2025-11-07 11:54:01,IP Address,172.59.192.188,100,226,True,2025-11-07 11:54:01,R_7CTZFHoR2PIoZaY,,,,,33.0287,-96.6826,qr,EN,1094,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree
2025-11-07 11:52:00,2025-11-07 11:54:05,IP Address,104.28.103.163,100,125,True,2025-11-07 11:54:05,R_3fjFcKgHSNv0K7P,,,,,35.0454,-85.3089,qr,EN,1042,Disagree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree
2025-11-07 11:50:09,2025-11-07 11:54:11,IP Address,67.216.253.33,100,241,True,2025-11-07 11:54:11,R_13ZuEWbzGLaYb7H,,,,,32.2768,-95.3031,qr,EN,4752,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:25,2025-11-07 11:54:19,IP Address,174.224.12.246,100,233,True,2025-11-07 11:54:19,R_3GKxhiEq7jswPV6,,,,,32.8489,-96.9667,qr,EN,1025,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Agree
2025-11-07 11:50:09,2025-11-07 11:54:21,IP Address,166.199.250.73,100,252,True,2025-11-07 11:54:21,R_7rMpAnbLnq4gYlQ,,,,,32.7616,-97.1816,qr,EN,1028,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:51:57,2025-11-07 11:54:25,IP Address,107.115.43.72,100,147,True,2025-11-07 11:54:25,R_1NgoIu8THrC2ZH3,,,,,32.9247,-96.8917,qr,EN,1058,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree
2025-11-07 11:50:12,2025-11-07 11:54:28,IP Address,174.226.119.20,100,255,True,2025-11-07 11:54:28,R_75z73qYdPu88LC8,,,,,32.8242,-96.7507,qr,EN,1092,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
2025-11-07 11:53:05,2025-11-07 11:54:50,IP Address,174.197.64.47,100,104,True,2025-11-07 11:54:50,R_34dEYYtVgftn5dg,,,,,32.7797,-96.8022,qr,EN,1043,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
2025-11-07 11:51:40,2025-11-07 11:55:04,IP Address,67.216.253.33,100,204,True,2025-11-07 11:55:04,R_5VIJ7dOpuFUgwgk,,,,,32.2768,-95.3031,qr,EN,1062,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2025-11-07 11:50:34,2025-11-07 11:55:18,IP Address,166.205.190.17,100,283,True,2025-11-07 11:55:18,R_5AFPwLAyVbEGuyB,,,,,32.7797,-96.8022,qr,EN,1015,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree
2025-11-07 11:50:36,2025-11-07 11:55:37,IP Address,172.59.195.84,100,301,True,2025-11-07 11:55:38,R_7V1uWdtGDyg7LbH,,,,,33.0287,-96.6826,qr,EN,1049,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree
2025-11-07 11:51:23,2025-11-07 11:56:01,IP Address,174.242.208.42,100,278,True,2025-11-07 11:56:02,R_7zjzQmcgWDrzjpK,,,,,32.3251,-95.2981,qr,EN,1040,Disagree,Disagree,Neutral,Agree,Strongly disagree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Disagree,Neutral,Agree
2025-11-07 11:50:20,2025-11-07 11:56:41,IP Address,67.216.253.33,100,380,True,2025-11-07 11:56:41,R_7Tmz34JORW6sfbM,,,,,32.2768,-95.3031,qr,EN,1047,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree
2025-11-07 11:50:20,2025-11-07 11:56:44,IP Address,172.59.192.52,100,384,True,2025-11-07 11:56:44,R_7F1crfObtOlBnr3,,,,,33.0287,-96.6826,qr,EN,1027,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree
2025-11-07 11:50:15,2025-11-07 12:33:35,IP Address,174.224.14.122,100,2600,True,2025-11-07 12:33:35,R_6uIaNJiAadjUdBn,,,,,32.7908,-96.8336,qr,EN,1076,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2025-11-07 11:50:30,2025-11-07 12:43:06,IP Address,172.226.81.189,100,3156,True,2025-11-07 12:43:06,R_3l44NYyYiqEAFwn,,,,,32.8472,-97.1491,qr,EN,1072,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree
2025-11-07 22:17:50,2025-11-07 22:20:21,IP Address,47.160.44.4,100,151,True,2025-11-07 22:20:22,R_5oFQc8fUcQNrD6h,,,,,33.1321,-95.5925,qr,EN,1003,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree
2025-11-07 11:50:09,2025-11-07 11:50:20,IP Address,174.197.64.47,9,10,False,2025-11-14 11:50:25,R_1CT2HcRslWn3AN2,,,,,32.7797,-96.8022,qr,EN,0525,,,,,,,,,,,,,,,,,,,,,
2025-11-07 11:51:54,2025-11-07 11:54:03,IP Address,174.242.208.2,48,128,False,2025-11-14 11:54:40,R_6dMV9LFU06PAsNh,,,,,32.3251,-95.2981,qr,EN,1050,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Disagree,,,,,,,,,,,,
2025-11-07 11:50:12,2025-11-07 11:54:33,IP Address,107.127.0.110,87,260,False,2025-11-14 11:54:53,R_7Sfc44qDtNMHsVF,,,,,30.4293,-97.7207,qr,EN,1013,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,,,
2025-11-11 12:28:42,2025-11-11 12:28:43,IP Address,174.244.51.170,4,1,False,2025-11-18 12:28:45,R_3w450Cks2CZytSr,,,,,32.9993,-96.8346,qr,EN,,,,,,,,,,,,,,,,,,,,,,
